Bedrooms,Bathrooms,SquareFootage,Zipcode,Price
7,3.0,1145,68024,277224.8287006475
4,3.0,5824,49687,936663.0520105127
5,4.0,1795,81129,376343.3242596293
7,2.5,2669,36207,634363.3173763636
3,2.5,3958,59354,788318.9313843087
8,5.0,3038,47310,804878.3780823695
5,3.5,1216,58960,297046.06634944765
5,2.5,4844,71262,908621.6737888169
7,1.5,3943,23403,889456.7802415672
2,3.5,2411,23065,477057.8573928424
3,1.5,771,99930,173236.02692372486
7,3.0,4742,36801,1022897.1653451949
3,3.5,1225,39230,319395.4387496943
3,2.5,4663,82706,881431.6227843245
8,2.0,2854,93942,669281.5097254772
5,4.0,1052,39968,309549.64730210206
4,1.5,2018,52517,347815.39638469287
8,3.5,1353,63239,371136.7265450708
8,2.5,3972,42655,772742.7282905562
3,3.5,5704,72771,1200000.0
6,2.5,3323,55984,657811.9343023822
5,2.5,5829,21049,1163248.5761259152
2,2.5,3610,82321,669971.5186962886
8,5.0,3511,74813,798961.5173840476
4,4.0,1825,14655,449649.1449468033
6,2.0,767,93994,196061.11190758835
6,2.0,4285,82454,1043983.3054556603
2,3.5,685,78972,200262.81562013354
8,3.5,2277,31432,598257.9801318935
4,2.5,2582,75896,535738.377588585
5,5.0,5544,80135,1135086.9004775446
1,2.5,2086,52936,376390.6708315193
4,5.0,1041,23750,270964.9036817218
2,2.5,870,37987,190850.7564559217
6,1.5,943,36165,239415.9421446884
5,1.5,1806,60541,377088.2700999769
4,3.0,3681,34346,863440.9604791779
1,2.5,1857,13514,369233.8947139404
1,4.0,2891,34838,497211.5089258278
3,3.0,2132,37559,446774.42800180457
3,3.5,4022,69207,655794.9223655007
7,2.5,4962,26385,959524.549005436
2,1.5,2253,28317,362236.7237302959
8,5.0,5588,10393,1088437.8758068748
4,4.0,838,34881,267164.39979752066
4,2.5,1514,37955,343695.74147147976
8,2.0,2038,68308,569344.7456959444
7,2.0,3616,68014,645440.6672771025
6,5.0,2060,75430,530758.1046931439
6,3.0,3679,82031,587460.4019035661
7,2.0,2858,96973,502500.86872046534
6,3.0,966,69596,230563.98295252392
3,1.5,3591,11713,695965.6178255073
4,2.5,4341,30428,896998.8480129668
7,1.5,685,72160,177378.05310563924
4,1.5,3093,76171,584825.775621212
8,4.5,5315,90729,1200000.0
1,1.0,731,70843,139813.86304526502
3,4.0,1503,33003,414635.6526068697
5,3.0,4056,90169,760356.7243574956
3,4.5,5683,52077,931080.5837313794
7,1.0,1821,36730,412522.541237859
5,4.0,2363,82981,587726.3534158027
1,3.0,3404,89817,504229.31361068925
7,2.5,1826,82138,450660.15292010794
2,4.0,1884,75573,404416.14518360776
4,1.5,1289,38869,242449.07679221165
1,1.0,5743,41076,1096577.4081021599
4,1.0,5382,96005,981949.1104671542
6,1.0,5481,35094,1200000.0
2,3.0,5035,36817,964849.1756206467
2,4.0,5107,20555,981551.738035279
1,1.5,2596,80656,474045.4721951351
2,4.5,4981,90214,864799.2159134706
5,2.5,1709,60193,305649.86900289514
2,2.0,5545,14715,961796.2751402531
4,4.5,1029,44162,312411.01433173026
4,1.5,4726,48458,827658.7848399957
7,2.0,4381,13140,840101.4422998697
4,2.0,1202,84174,273070.33291152626
7,1.0,1039,27383,249220.68765516137
4,3.5,1584,27718,379440.5623037351
5,1.5,2518,86160,451174.5751199714
8,1.0,5107,67399,1146333.028888483
7,1.5,1127,97008,280944.0195101366
3,3.5,5005,31863,947604.2029200939
6,2.5,3596,81626,691383.1270910766
1,3.5,4067,21377,839098.2776802756
4,5.0,1961,93031,491703.8411665508
2,4.5,1303,70523,387238.96254914236
8,1.0,1262,24870,278295.189487436
4,4.5,964,67487,332881.8729364791
2,5.0,1522,29300,280467.7554089188
6,3.5,4456,65951,860904.4195455152
6,3.0,775,77639,224481.67631364785
6,3.5,5868,82126,1138963.3833460214
2,3.5,5897,52980,1200000.0
4,5.0,1535,42050,359297.7901579649
6,2.5,981,12921,299336.950760984
5,1.5,5978,80270,1200000.0
7,5.0,5908,95293,1052301.243248464
2,1.5,905,40328,147600.5738463165
2,5.0,5297,70820,1016968.5597711501
4,1.5,2990,33138,594338.6738452015
2,4.5,2803,91573,488557.49498191365
2,5.0,5407,22094,1034594.4983581647
6,5.0,2065,75264,486585.4304853645
4,5.0,3871,19028,820467.144054247
6,1.5,1002,25432,290228.7014503611
7,2.5,5309,53819,1162433.596172897
8,4.0,3270,98627,873391.1417119821
7,1.5,2401,91122,504413.5692903244
8,1.0,3250,15312,726688.3805074674
6,2.0,776,35973,182914.74729837853
7,2.5,5144,65305,854088.0673268179
4,4.5,1342,38973,401942.18725319754
1,3.5,2948,54390,618678.6848395397
6,1.5,5002,26099,1013983.359806568
8,5.0,1350,59956,429451.0875678667
5,1.5,1468,24063,325846.17434763367
8,3.0,4662,91919,891441.5454603437
5,2.5,4567,19605,870536.6949983829
2,4.0,813,87904,250086.51089135077
